position_x,position_y,time,steps
3,6,0.002033,64
5,3,0.002,64
4,4,0.003033,64
6,2,0.002172,64
5,7,0.002004,64
4,6,0.002139,64
2,1,0.003001,64
7,7,0.003033,64
0,2,0.002033,64
5,7,0.002019,64
0,4,0.001963,64
7,6,0.002977,64
3,2,0.003038,64
7,0,0.003054,64
6,5,0.002512,64
1,7,0.002303,64
1,1,0.003002,64
3,7,0.00211,64
3,1,0.002004,123
3,5,0.002997,64
4,5,0.002997,64
6,1,0.002034,64
0,7,0.002008,64
7,0,0.001975,64
7,2,0.001997,64
7,3,0.003514,64
2,4,0.002034,64
7,5,0.003037,64
6,7,0.003022,64
5,4,0.001997,64
3,5,0.003,64
1,0,0.001986,64
1,7,0.002475,64
3,1,0.002296,64
0,5,0.002851,64
0,3,0.002033,64
4,7,0.001999,64
4,1,0.002031,64
6,0,0.002,64
6,7,0.002999,64
7,4,0.001998,64
3,6,0.002998,64
0,4,0.002032,64
6,7,0.002138,64
5,3,0.002033,64
6,5,0.002009,64
3,7,0.002035,64
6,3,0.002036,64
7,0,0.003167,64
0,2,0.001998,64
0,3,0.003034,64
3,7,0.00202,64
0,2,0.003217,64
4,1,0.003008,64
1,7,0.002994,64
3,4,0.005001,64
5,0,0.002998,64
0,7,0.003037,64
3,0,0.00354,64
5,6,0.002001,64
5,0,0.001997,64
6,0,0.002628,64
7,5,0.003034,64
7,4,0.003038,64
4,7,0.002138,64
2,6,0.003033,64
6,0,0.003,64
3,5,0.003019,64
6,5,0.002,64
0,4,0.001955,64
3,1,0.002,64
5,5,0.002131,64
5,1,0.002162,64
4,1,0.001966,64
6,3,0.002024,64
2,1,0.001997,64
0,6,0.002002,64
0,3,0.001962,64
1,4,0.002031,64
0,1,0.002037,64
2,1,0.00196,64
2,4,0.001999,64
2,7,0.001998,64
2,2,0.002003,64
5,6,0.002401,64
4,5,0.003003,64
6,4,0.002002,64
1,2,0.002001,64
2,4,0.00403,64
4,3,0.002995,64
4,1,0.002968,64
0,1,0.003004,64
5,1,0.003272,64
2,3,0.003001,64
2,0,0.001907,64
4,4,0.003279,64
6,4,0.003001,64
2,7,0.002999,64
6,2,0.008042,64
5,6,0.006118,64
7,3,0.002997,121
2,4,0.001997,64
5,5,0.002002,64
7,2,0.002033,64
4,4,0.002031,64
3,4,0.002034,64
4,2,0.003061,64
3,1,0.003029,64
0,5,0.002004,64
4,7,0.002036,64
1,5,0.001863,64
3,5,0.001984,64
7,6,0.00303,64
0,4,0.001729,64
5,0,0.001916,64
7,1,0.002034,64
7,1,0.003001,64
6,0,0.003038,64
4,3,0.002062,64
5,5,0.001962,64
2,3,0.002001,64
5,1,0.002033,64
1,0,0.003008,64
7,2,0.003035,64
5,4,0.002997,64
7,4,0.002285,64
3,2,0.001997,64
7,5,0.001928,64
4,2,0.003033,64
0,7,0.003032,64
4,7,0.002076,64
7,3,0.002223,64
2,3,0.002001,64
0,5,0.002035,64
5,1,0.002091,64
7,5,0.002312,64
5,0,0.00232,64
0,1,0.002999,64
0,0,0.003035,64
1,3,0.001985,64
2,1,0.003,64
7,7,0.003117,64
7,1,0.001874,64
6,6,0.003,64
7,5,0.003002,64
7,7,0.002998,64
7,3,0.002298,64
6,2,0.002277,64
2,6,0.003038,64
6,7,0.002034,64
5,6,0.002005,64
4,5,0.003013,64
2,5,0.002034,64
7,2,0.001789,64
5,3,0.003054,64
4,2,0.002071,64
2,1,0.002035,64
7,1,0.001964,64
4,1,0.003035,64
4,5,0.002499,64
7,3,0.002002,64
2,7,0.001929,64
6,0,0.002037,64
3,1,0.002153,64
6,4,0.00312,64
0,4,0.001999,64
6,4,0.003031,64
0,3,0.003026,64
4,4,0.002998,64
3,2,0.002205,180
0,5,0.001997,64
6,0,0.002138,64
4,1,0.001997,64
1,7,0.001997,64
4,0,0.003032,64
1,2,0.002999,64
1,3,0.003139,64
2,0,0.003002,64
6,1,0.002999,64
7,7,0.003038,64
5,4,0.001995,64
0,7,0.001999,64
